A_id,B_id
34020,1264
34020,34033
34020,34034
34020,34036
707,34049
707,1282
707,34051
707,34052
707,1288
707,34056
824,1302
824,34070
824,34071
824,1304
32978,34081
32978,34082
32978,1314
32978,1316
879,34095
879,1328
879,34097
879,1332
879,34100
879,34103
879,1335
879,1337
879,34105
879,1338
33523,34121
33523,34122
33523,1354
33442,1359
33442,1361
33442,1362
33442,34131
33442,1363
33442,1364
33442,1366
33442,1368
33442,34136
788,1377
788,34146
788,34147
788,34148
788,34149
788,1381
788,34151
788,34154
193,1396
193,1398
193,1399
125,1400
125,34170
125,34175
125,1408
125,34176
33162,1415
33162,34183
33205,1422
33205,34190
33205,34191
33205,34193
33205,34194
33205,1427
33205,1428
33205,34197
33205,1429
33205,1430
33959,1438
33959,1439
33959,34207
33959,1441
33376,1448
33376,1449
33376,1452
33376,1453
33376,34221
33160,34232
33160,1465
33160,1466
33160,34237
33160,34238
33160,1470
33160,1473
28,34246
28,1480
28,34248
28,34253
28,1485
28,1486
33238,1492
33238,1493
33238,34261
33238,34262
33238,1495
33238,34264
33238,1496
376,1499
376,1500
32805,1509
32805,1510
32805,34280
32805,34282
32805,1514
32805,1515
32805,34286
32805,1519
33353,1521
33353,34290
33353,1522
33353,34291
33353,1524
33353,34293
33353,1526
33353,34294
33353,34296
33353,1528
33887,34306
33887,34307
33887,1539
33887,34308
33887,1542
33887,1545
33887,1546
33887,34315
33887,1549
38,1553
38,34322
38,1554
38,34325
978,34332
978,1564
978,1565
978,34334
978,34335
33627,34354
33627,34355
33627,34356
33627,1588
33627,1589
33627,34357
33627,34360
33627,1594
33627,1595
550,34367
550,34368
33585,34372
33585,1605
33585,34374
33585,34377
33585,34379
33585,1612
402,1630
402,1631
402,1633
402,1635
402,34403
402,34404
402,34406
33769,34416
33769,34417
33769,34418
33769,1650
33769,34420
33769,34421
33769,1653
33769,34422
33769,1657
33203,34443
33203,1677
33203,34447
33203,1681
33203,34450
33203,34451
33203,1684
33203,1685
1,34464
1,34465
1,34467
1,34468
33031,1702
33031,34471
33031,1703
33031,34472
33031,1704
33031,34473
1148,34479
1148,34480
1148,1712
781,34492
781,1725
781,34493
781,34494
781,34495
781,34498
781,1735
781,34504
781,34505
33667,1745
33667,1747
33667,34516
33667,1748
33667,1750
33667,34520
33667,1752
33667,1753
33667,34521
33423,34526
33423,1758
33423,34527
33423,34529
33423,1762
33423,1764
33423,34532
33423,34535
33423,1767
33696,1774
33696,34542
33696,1775
33414,34558
33414,34559
33414,1792
33414,34560
33414,34562
33414,1795
33414,1796
33884,1809
33884,1810
33884,34580
33884,1814
33884,1815
33884,34583
33149,34597
33149,1830
33149,1831
33149,34600
33149,34601
33149,34603
33149,1838
33149,34608
33149,1841
33097,34618
33097,34619
33097,1851
33938,34630
33938,1863
33938,34631
33938,34632
33938,34634
33938,34635
33938,1869
33952,34644
33952,34646
33901,34654
33901,34655
1168,1899
1168,1900
1168,34672
1168,1905
1168,34674
1168,1906
1168,1907
1019,1916
1019,34685
1019,34686
1019,34688
1019,34689
638,1928
638,1929
638,34699
33583,34704
33583,1936
33583,1937
33583,34706
33583,1942
33583,34710
33583,34711
33583,1944
33583,34713
33583,34717
1132,1957
1132,34726
1132,1962
1132,34731
1132,34734
1132,34735
1132,34736
1132,34738
1132,1970
1132,1971
32858,34753
32858,1986
569,34758
569,34759
569,1992
569,1993
33321,2001
33321,34770
33321,34771
575,34775
575,2009
1137,2023
1137,34792
1137,2028
1137,2029
33310,2036
33310,34804
32994,34812
32994,2045
32994,34813
32994,34814
32994,2050
33751,34826
33751,2059
1093,34836
1093,34838
1093,2072
1093,34840
1093,34841
1093,2074
1093,34842
593,34854
593,2087
593,2088
593,34857
593,2090
593,34859
593,2092
593,2093
593,34863
32784,34873
32784,2108
32784,34877
32784,34878
32784,2112
32784,2113
32784,34883
33788,34898
33788,2130
33788,34899
33788,34900
33788,2133
33788,34901
1133,2142
1133,34912
1133,34914
1133,2147
1133,34916
1133,2148
1133,34917
1133,34918
1133,34920
33851,34929
33851,34932
33851,34933
33781,34951
33781,34952
32856,34970
32856,2202
32856,2203
32856,34972
32856,2204
32856,2205
32856,2207
32856,34976
32856,2209
32856,34979
33371,2221
33371,34990
33371,34991
33371,34993
33371,34996
33371,2228
33371,2231
33371,35000
272,35016
272,35017
272,35020
272,35026
272,2260
272,2261
272,2262
272,35031
732,35037
732,2269
732,35038
732,35040
744,2279
744,2280
449,2288
449,2289
449,35058
449,35060
449,2292
812,35066
812,2298
812,35067
812,2300
812,35069
812,2302
33970,2311
33970,35080
33970,2313
845,2329
845,35099
845,35100
845,35103
845,2337
845,35105
845,35106
845,35107
33960,2357
33960,35125
33960,35127
33960,2359
33960,2361
33960,2362
33960,35131
33960,2363
1079,2375
1079,35144
1079,2377
1079,35146
33761,2384
33761,35152
33761,35156
33761,2392
33761,35160
33761,2395
104,35171
104,2403
104,2404
104,35174
104,35175
104,2408
596,2424
596,35192
596,35193
596,2425
596,2430
596,2431
596,35200
596,35201
