A_id,B_id
32769,1263
32769,1267
32769,1270
32769,1273
32769,34043
32769,1276
32770,1284
32770,34052
32770,34054
32770,1287
32770,1288
32770,34057
32770,34058
32770,1290
5,34066
5,1299
32775,34078
32775,34081
32775,34082
32776,1318
32776,34087
32776,1319
32776,34090
32776,34092
32776,1324
32776,34093
32776,34094
32776,1326
32776,1327
9,34103
9,1339
9,1341
9,34109
9,34110
11,34125
11,1357
11,34126
11,34129
11,34130
11,1363
11,34131
11,34132
12,34135
12,34136
12,1368
12,1369
12,34138
12,34139
32780,34148
32780,1381
32780,1388
32780,1391
32781,34182
32781,1415
32781,1416
32781,34184
32781,1417
14,1429
14,1433
14,34203
14,34204
14,34205
14,1437
14,1438
32784,1448
32784,1449
32784,34218
32784,1452
32784,1453
32784,34221
32784,34222
32784,1455
32784,34223
17,34225
17,1457
17,1459
17,1461
17,34230
17,34233
17,34234
17,1466
17,34235
17,34236
19,1473
19,34242
19,1475
32787,1476
32787,34247
32787,1479
32787,34248
32787,34249
32787,1482
32787,1483
32787,34251
32788,1488
32788,1489
32788,1490
21,1508
21,34278
21,1511
21,1514
21,34283
21,1518
21,1520
21,1521
21,34292
32790,34295
32790,34296
32790,1529
32790,1530
32791,34311
32791,1543
32791,1545
32791,34314
32791,34315
24,34321
24,34324
24,1558
24,1559
32793,1572
32793,34340
32793,34341
32793,1575
32793,34343
32793,34344
32793,34348
32793,34349
32793,34350
32793,34352
32795,1598
32795,34367
32795,34369
32795,34370
32795,34371
32795,1603
32795,1605
32795,34373
32795,1606
27,1625
27,1626
27,34394
27,34395
27,34396
27,34397
27,34398
29,1635
29,34404
29,34405
29,1637
29,1639
29,34409
29,34412
29,1646
29,34415
29,1648
32799,1666
32799,34435
32799,1668
32799,1669
32799,34437
32799,1672
32799,1674
32799,34443
32799,34444
32,34455
32,1687
32,1688
32,34458
32,1690
32,34459
32,34461
32,34462
32,34464
32,34465
32800,1704
32800,34473
32800,1705
33,34481
33,1714
33,34484
33,34486
33,1719
33,1720
33,1721
33,34493
32802,34502
32802,1736
32802,1737
32802,34506
32802,1738
32802,1739
35,1746
35,1747
38,1755
38,34523
38,1756
38,34525
38,1757
38,1758
39,34530
39,34531
39,1764
32808,1767
32808,1772
32808,34541
41,34546
41,34549
41,1781
32809,34559
32809,34560
32809,1793
32809,34561
32809,1795
32809,34563
42,34575
42,1808
32811,34582
32811,1814
32811,1815
32811,1819
32811,34588
32811,34591
43,1829
43,34598
43,34600
43,1833
43,34603
43,1837
45,1844
45,34612
45,1845
45,1846
45,34614
45,34615
47,34633
47,1866
47,1868
47,1869
32816,34646
32816,34647
32816,1879
32816,34648
50,1895
50,34663
50,1896
50,34665
52,34680
52,34683
32821,1922
32821,34692
32821,1926
32821,34694
32821,1927
53,34708
53,1940
53,1941
53,1942
53,34711
53,1944
32822,34724
32822,34725
32822,1957
32822,1959
32824,1967
32824,34737
32824,1969
32824,1973
32824,34743
57,34759
57,1996
57,34765
32825,2009
32825,34779
59,2015
59,2016
59,2017
59,34785
59,2019
59,34788
59,2020
59,34789
59,2021
59,34790
60,34801
60,2033
60,2035
60,34804
60,34805
60,34806
60,2038
60,2039
60,34807
60,34809
32829,34820
32829,2054
32829,2056
32829,34825
32829,34827
32829,34828
32830,34844
32830,2077
32830,34847
32830,34849
32830,34851
32830,2089
32830,34858
32830,2090
32830,2091
32830,34860
65,34872
65,2105
65,34874
65,34878
65,2112
65,2114
32833,2118
32833,34888
32833,34889
32833,34892
32833,34893
32833,34894
32833,34896
32833,2128
32833,34897
68,34899
68,2134
68,34903
68,2136
68,2138
68,2139
68,34908
68,2141
68,34909
68,34910
32837,34912
32837,34913
32837,2148
32837,34917
32837,2149
32837,34918
32837,2151
32839,34928
32839,34929
32839,34932
32839,2165
32839,2166
32840,2171
32840,34940
32840,2173
32840,34942
32840,2174
32840,34943
74,34947
74,2182
74,34950
75,34959
75,2191
75,34962
75,2195
75,34963
75,2197
75,34965
75,2198
77,34973
77,34974
77,2206
32845,34977
32845,2210
32846,34984
32846,2217
32846,2219
32846,34988
32846,2221
32846,34990
32846,34991
32846,2224
79,2239
79,2241
79,35009
79,2242
79,2243
79,2244
32847,2254
32847,35023
32847,2256
32847,35025
32847,2258
32847,2259
32847,2262
32847,2263
32849,35036
32849,2270
32849,35039
82,35045
82,2279
82,35047
82,2281
32850,35057
32850,2290
32850,35059
32850,35060
32850,35061
32850,35062
32850,2295
83,35081
83,2313
83,2314
83,35083
83,2315
32852,2329
